X;Y;osm_id;NAZWA
18.3373397;49.9607157;2139720369;Olza Dworcowa dworzec kolejowy
20.820098;49.4293084;2139976448;Wierchomla Ma?a Stacja narciarska
15.7538904;50.9024295;2140844292;Dworzec Kolejowy
18.9123145;50.1820596;2141270070;Kamionka Młyn
18.9306119;50.179615;2141277042;Miko?ów Kopalnia Barbara
18.9206706;50.1763161;2141278507;Miko?ów Podleska
18.9042318;50.1764108;2141317852;Reta Koja
19.4909969;49.9433241;2141383099;""
19.4889746;49.9365678;2141479478;""
20.8367451;51.0682331;2141528011;Góra Baranowska
20.8209143;51.0199628;2141538072;Ko?ció? II
20.8210251;51.0203303;2141538075;Ko?ció? II
20.8195244;51.015333;2141538080;Ostojów III
20.8175245;51.0086283;2141538082;Le?niczówka IV
20.8227491;51.0260855;2141538084;Szkoła I
20.8172131;51.0075512;2141538085;Le?niczówka IV
22.9501803;54.1118858;2141637035;Ró?ana / Kasztanowa (01) na ??danie
22.9514539;54.1109025;2141637036;Ró?ana / Pó?nocna (02) na ??danie
20.9156499;51.0769738;2141677521;Parszów - Ku?nia
20.9131808;51.0780776;2141677524;Parszów - Ku?nia
15.1614394;51.6424682;2581708910;?ary Bohaterów Getta I
15.1360549;51.6362634;2581713038;?ary U?a?ska (dla wysiadaj?cych)
18.5593276;51.2613188;2584163579;Opojowice Górka
18.9899473;50.2158772;2142401418;Ochojec Sadowa
18.9776677;50.2552511;2142774734;Za??ska Ha?da Kolo?ska [n?]
18.9866134;50.2617713;2143084991;Za???e Boche?skiego
15.4938659;51.9379498;2143370358;D?brówki
15.5000573;51.9170039;2143370370;Botaniczna
15.5083038;51.9433631;2143370381;Centrum
15.5204235;51.9453387;2143370382;Staszica
15.5010484;51.9222212;2143370384;Ogród Botaniczny
15.5230544;51.9416969;2143370385;Szpital
15.5024927;51.9278251;2143370386;G?owackiego
15.481442;51.9356232;2143378793;W?gierska
15.4930335;51.9287585;2143378798;Wi?niowa
15.4996821;51.9162776;2143380340;Botaniczna
15.5406751;51.9254508;2143380341;Wroc?awska
19.476273;51.7450043;2143704463;Kili?skiego - Przybyszewskiego
19.4749616;51.7477069;2143705757;Kili?skiego - Senatorska
19.4727294;51.752266;2143712131;Kili?skiego - Tymienieckiego
19.4689903;51.759805;2143717674;Kili?skiego - Pi?sudskiego
18.5584051;51.2583425;2584163582;Opojowice Górka
19.358794;50.0879612;2584913696;?arki Astronautów
19.3635026;50.0815731;2584913699;?arki Młyn
19.3482717;50.0789207;2584913702;?arki Pstrowskiego Krzy?ówka
19.360562;50.0942325;2584913704;?arki Zagórcze
19.4733349;51.7510409;2143785174;Kili?skiego - Tymienieckiego
19.4774835;51.7425846;2143792975;Kili?skiego - Pozna?ska N?
19.4771397;51.7456366;2143953457;Przybyszewskiego - Kili?skiego
19.4265032;51.7911133;2143993343;Limanowskiego - Mokra
19.4259897;51.7911568;2144019308;Limanowskiego - Mokra
19.0718377;50.2624691;2144046998;Szopienice Ro?dzie?ska [n?]
19.4651775;51.7415043;2144051825;Zarzewska - Rzgowska N?
19.5093706;51.7833048;2145204452;Telefoniczna Zajezdnia
19.4976611;51.7774686;2145222262;Pomorska - Konstytucyjna
18.5602072;51.7356516;2145880136;Cielce
19.4078865;51.8718152;2146380056;Pi?tkowska/Kasprowicza
19.0151283;50.2433627;2146741975;Katowice Ceglana Szpital Kliniczny
19.024982;50.2408598;2146814987;Muchowiec Droga do Lotniska
18.6123539;51.3050599;2585858555;Niemierzyn Centrum
18.5984197;51.2460862;2587338382;Bieni?dzice - Przystanek PKS
18.620911;52.9985515;2587620859;Strza?owa 03
19.0533669;50.2599725;2146831032;Zawodzie Bohaterów Monte Cassino
14.5915965;51.8493837;2147196285;Dorf
14.5916652;51.8491791;2147196291;Dorf
14.5951815;51.8535461;2147196303;Familienzentrum
14.5951033;51.8536106;2147196305;Familienzentrum
19.4183061;51.0869638;2147507146;Krasickiego Continental
20.4726682;53.7179249;2148469795;Bart?ska-Rondo
18.9811269;50.3172113;2148936337;Chorzów Stary Zak?ady Azotowe
20.8392768;51.0307391;2149009108;Berezów / Zakr?t 02
20.8394624;51.0310084;2149009117;Berezów / Zakr?t 01
19.4065477;51.8598522;2150131646;Pi?tkowska (park)
19.4094396;51.8722955;2150252872;Kasprowicza/Pi?tkowska
19.414986;51.8715566;2150254387;Kasprowicza/Dygasi?skiego
19.0691165;50.3381822;2150522047;Czelad? Cmentarz Komunalny
23.2364694;50.7043569;2150755634;?ródlana nr 141
19.0704893;50.3162538;2151833208;Czelad? Urz?d Miasta
19.1235277;50.2348609;2151893592;?mok Rondo (Janowska)
19.1216494;50.2358194;2151893596;?mok Rondo (Janowska)
19.1248179;50.234305;2151893604;?mok Rondo (Partyzantów)
19.1274512;50.2358935;2151898531;Mys?owice Miko?owska Markety
15.555302;51.9339813;2152038630;Osiedle ?l?skie
15.4845008;51.9265487;2152038633;"Zawadzkiego ""Zo?ki"" I (N?)"
18.6310612;52.9951846;2587640730;Zakole 02
18.5834615;53.0349844;2588272349;Przy Lesie 01
15.6284409;51.9289664;2152038720;Nowy Kisielin
15.5712569;51.9360146;2152038729;Graniczna (N?)
15.595488;51.9336675;2152038730;Nowy Kisielin Odrza?ska (N?)
15.5946129;51.9341157;2152038731;Nowy Kisielin Odrza?ska (N?)
15.5559471;51.9336048;2152038738;Osiedle ?l?skie
15.5580024;51.9316173;2152038747;Os. ?l?skie
22.4615685;51.1848649;2152645698;Zemborzyce Tereszy?skie - Szkoła 02
18.8758884;50.3623952;2153070500;Karb Celna [n?]
18.8825229;50.3860686;2153158531;Stroszek Kopalnia
16.3909277;50.3231621;2153168376;De?tnó v Orlickóch horóch, ?erlich
14.7054989;51.9429146;2153187181;Platz des Gedenkens
14.7048747;51.9431161;2153187188;Platz des Gedenkens
14.7040648;51.9459767;2153187210;Karl-Marx-Straóe
16.4755938;50.2780412;2153187512;Orlickó Zóho?ó, kostel
19.0649112;50.2817387;2153335357;D?brówka Ma?a Spó?dzielnia
19.0713768;50.2829218;2153344060;D?brówka Ma?a Oczyszczalnia
18.4572656;54.4639753;2153425988;Rdestowa - Le?ny Zak?tek 02
20.9764393;50.0123174;2153800470;Szkotnik Plac
19.060597;50.2457749;2154083337;Kolonia Amandy [n?]
19.0685561;50.2337087;2154098519;Kolonia Wysockiego Wo?niaków
